MODULE_MOD,DEV_ID,MODULE_SERIAL_NO
X6300-NM-Y,Asu_10.10.0.17,GKwfiTLQNnFNxR
K8300-NM-F,Ate_10.10.0.18,wEukvJoyR38yWS
Z3300-NM-U,Bag_10.10.0.19,w86akpHvCLnQKv
Q3300-NM-V,Bak_10.10.0.20,6UsJK9oJ2n3agW
F9300-NM-H,Bam_10.10.0.21,NZ4FNgq5Fn9k8m
G8300-NM-A,Ban_10.10.0.28,PTGtwHYiwba4za
N6300-NM-A,Ban_10.10.0.29,CZJ4Ns42j2eiSk
G7300-NM-Q,Ban_10.10.0.30,zrtxvcBfNMFttx
J3300-NM-M,Ban_10.10.0.31,mYUBxBZwmBxWe2
T6300-NM-S,Bas_10.10.0.26,kY8jyeyCSpkwGH
Q9300-NM-J,Bei_10.10.0.27,HFpYKSx3HuTAaZ
F8300-NM-J,Bel_10.10.0.30,cWpuDcTn3zsjkt
S5300-NM-Y,Bel_10.10.0.31,zPKgt2XBysbhfi
N3300-NM-D,Ber_10.10.0.32,KJGEGKaFaJLuAE
H9300-NM-W,Ber_10.10.0.33,CBLH8AGBh8fcEp
G7300-NM-M,Bis_10.10.0.34,cTo7dF3vY2g9YX
M5300-NM-B,Bis_10.10.0.35,KLHTXuyLnHiUcD
Q3300-NM-C,Ciu_10.10.0.34,n2cNG9CJb9bsRq
K9300-NM-N,Bog_10.10.0.35,bKypbngZ5N6KWM
F2300-NM-H,Bra_10.10.0.40,6ZkEXbNLZGMp3G
X6300-NM-Y,Bra_10.10.0.41,rKN56BUHpFvz8S
K8300-NM-F,Bra_10.10.0.42,76qFcxkr6E7wnx
Z3300-NM-U,Bri_10.10.0.39,ki38QWHhMXUepS
Q3300-NM-V,Bru_10.10.0.40,xZpJnqkbFhhwEg
F9300-NM-H,Buc_10.10.0.41,ijpmT8K8mouLiZ
G8300-NM-A,Bud_10.10.0.42,JmbnrNzthRC484
N6300-NM-A,Bue_10.10.0.43,xcNEz2hSeJbxHV
G7300-NM-Q,Cam_10.10.0.44,knQpV2fyfRYXRX
J3300-NM-M,Car_10.10.0.45,d9RVDbJa4CgFSr
T6300-NM-S,Cas_10.10.0.46,xebjVYzzHykAdP
Q9300-NM-J,Che_10.10.0.47,eh48ndZUmDPEXu
F8300-NM-J,Ciu_10.10.0.54,gHM5xM8EUQwMfj
S5300-NM-Y,Ciu_10.10.0.55,Mb7C7twq68SUdo
N3300-NM-D,Ciu_10.10.0.56,nhVqWehTnAc48m
H9300-NM-W,Ciu_10.10.0.57,F4PEwQE4CEiZKk
G7300-NM-M,Con_10.10.0.52,Nxmue4X5eVXr62
M5300-NM-B,Cop_10.10.0.53,exV45WbQCxtmTm
Q3300-NM-C,Dak_10.10.0.54,3tCTcKvs9P8ZhL
K9300-NM-N,Dam_10.10.0.55,YwdPKQTz6faLdN
F2300-NM-H,Dha_10.10.0.56,tAwUs8p3ApCoip
X6300-NM-Y,Dil_10.10.0.57,YXL9nvtNeutFob
K8300-NM-F,Dod_10.10.0.58,VEE6fHfPKG6xdt
Z3300-NM-U,Doh_10.10.0.59,Xij76n5CkzLDHg
Q3300-NM-V,Dub_10.10.0.60,np8CEuGaQqBirz
F9300-NM-H,Dus_10.10.0.61,7Aa6vSxceUDyvk
G8300-NM-A,El _10.10.0.62,AVc2CfZBNWuEhP
N6300-NM-A,Est_10.10.0.63,tf8jAGZrKbeoeB
G7300-NM-Q,Fre_10.10.0.64,utBQWVsbxSF2tP
J3300-NM-M,Fun_10.10.0.65,aKY2jNXtY8rQ6L
T6300-NM-S,Gab_10.10.0.66,awgLpXY39tXx44
Q9300-NM-J,Geo_10.10.0.67,uePJvWCRwWgbbY
F8300-NM-J,Buy_10.10.0.68,RMzGub5sg8QkH7
S5300-NM-Y,Han_10.10.0.69,xZQAS3jXoNJQku
